index, num_operations, current_temp, switch_operation_1, best_makespan, switch_operation_2, temp_change_ratio, violates_constraint, selected_machine, should_accept, worst_makespan, iter_per_temp, num_machines, min_temperature, max_temperature, num_jobs, iter_number_in_temp, current_makespan, 
0, 15.0, , , , , 0.9, , , , , 10, 15, 8, 10.0, 15, , , 
1, 15.0, 10.0, 0, 2696, <bound method Operation.get_id of <operation.Operation object at 0x7fb93e5d2320>>, 0.9, True, 3, True, 2696, 10, 15, 8, 10.0, 15, 0, 2696, 
2, 15.0, 10.0, 12, 2696, <bound method Operation.get_id of <operation.Operation object at 0x7fb93e489be0>>, 0.9, True, 10, True, 2696, 10, 15, 8, 10.0, 15, 1, 2696, 
3, 15.0, 10.0, 11, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93e431e10>>, 0.9, False, 12, True, 2696, 10, 15, 8, 10.0, 15, 2, 2665, 
4, 15.0, 10.0, 0, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93dfb7518>>, 0.9, True, 11, True, 2696, 10, 15, 8, 10.0, 15, 3, 2665, 
5, 15.0, 10.0, 9, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93e2e9b38>>, 0.9, True, 8, True, 2696, 10, 15, 8, 10.0, 15, 4, 2665, 
6, 15.0, 10.0, 9, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93f445710>>, 0.9, False, 3, False, 2916, 10, 15, 8, 10.0, 15, 5, 2916, 
7, 15.0, 10.0, 10, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93dfad128>>, 0.9, True, 11, True, 2916, 10, 15, 8, 10.0, 15, 6, 2665, 
8, 15.0, 10.0, 4, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93de7c978>>, 0.9, True, 1, True, 2916, 10, 15, 8, 10.0, 15, 7, 2665, 
9, 15.0, 10.0, 11, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93dd2f780>>, 0.9, True, 14, True, 2916, 10, 15, 8, 10.0, 15, 8, 2665, 
10, 15.0, 10.0, 2, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93dbe9e80>>, 0.9, False, 11, False, 2916, 10, 15, 8, 10.0, 15, 9, 2868, 
11, 15.0, 9.0, 3, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93f607cf8>>, 0.9, True, 8, True, 2916, 10, 15, 8, 10.0, 15, 0, 2665, 
12, 15.0, 9.0, 5, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93f6634a8>>, 0.9, False, 2, True, 2916, 10, 15, 8, 10.0, 15, 1, 2665, 
13, 15.0, 9.0, 3, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93deef2e8>>, 0.9, True, 14, True, 2916, 10, 15, 8, 10.0, 15, 2, 2665, 
14, 15.0, 9.0, 10, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93dfe1080>>, 0.9, True, 3, True, 2916, 10, 15, 8, 10.0, 15, 3, 2665, 
15, 15.0, 9.0, 4, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93de389b0>>, 0.9, False, 13, True, 2916, 10, 15, 8, 10.0, 15, 4, 2665, 
16, 15.0, 9.0, 13, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93de38390>>, 0.9, True, 7, True, 2916, 10, 15, 8, 10.0, 15, 5, 2665, 
17, 15.0, 9.0, 5, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93e053fd0>>, 0.9, True, 2, True, 2916, 10, 15, 8, 10.0, 15, 6, 2665, 
18, 15.0, 9.0, 5, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93df6b390>>, 0.9, True, 12, True, 2916, 10, 15, 8, 10.0, 15, 7, 2665, 
19, 15.0, 9.0, 14, 2665, <bound method Operation.get_id of <operation.Operation object at 0x7fb93f5e83c8>>, 0.9, False, 1, True, 2916, 10, 15, 8, 10.0, 15, 8, 2665, 
20, 15.0, 9.0, 12, 2638, <bound method Operation.get_id of <operation.Operation object at 0x7fb93dfd0ef0>>, 0.9, False, 13, True, 2916, 10, 15, 8, 10.0, 15, 9, 2638, 
