 > iteration=1, temp=10, curr= 20, best=20
 > iteration=2, temp=10, curr= 21, best=20
 > iteration=3, temp=10, curr= 20, best=20
 > iteration=4, temp=10, curr= 21, best=20
 > iteration=5, temp=10, curr= 20, best=20
 > iteration=6, temp=10, curr= 16, best=16
 > iteration=7, temp=10, curr= 20, best=16
 > iteration=8, temp=10, curr= 20, best=16
 > iteration=9, temp=10, curr= 16, best=16
 > iteration=10, temp=10, curr= 16, best=16
 > iteration=11, temp=10, curr= 16, best=16
 > iteration=12, temp=10, curr= 16, best=16
 > iteration=13, temp=10, curr= 20, best=16
 > iteration=14, temp=10, curr= 21, best=16
 > iteration=15, temp=10, curr= 20, best=16
 > iteration=16, temp=10, curr= 20, best=16
 > iteration=17, temp=10, curr= 20, best=16
 > iteration=18, temp=10, curr= 16, best=16
 > iteration=19, temp=10, curr= 21, best=16
 > iteration=20, temp=10, curr= 16, best=16
 > iteration=21, temp=10, curr= 21, best=16
 > iteration=22, temp=10, curr= 16, best=16
 > iteration=23, temp=10, curr= 16, best=16
 > iteration=24, temp=10, curr= 20, best=16
 > iteration=25, temp=10, curr= 21, best=16
 > iteration=26, temp=10, curr= 21, best=16
 > iteration=27, temp=10, curr= 21, best=16
 > iteration=28, temp=10, curr= 21, best=16
 > iteration=29, temp=10, curr= 16, best=16
 > iteration=30, temp=10, curr= 21, best=16
 > iteration=31, temp=10, curr= 16, best=16
 > iteration=32, temp=10, curr= 20, best=16
 > iteration=33, temp=10, curr= 20, best=16
 > iteration=34, temp=10, curr= 21, best=16
 > iteration=35, temp=10, curr= 21, best=16
 > iteration=36, temp=10, curr= 21, best=16
 > iteration=37, temp=10, curr= 16, best=16
 > iteration=38, temp=10, curr= 21, best=16
 > iteration=39, temp=10, curr= 16, best=16
 > iteration=40, temp=10, curr= 21, best=16
 > iteration=41, temp=10, curr= 21, best=16
 > iteration=42, temp=10, curr= 16, best=16
 > iteration=43, temp=10, curr= 16, best=16
 > iteration=44, temp=10, curr= 21, best=16
 > iteration=45, temp=10, curr= 16, best=16
 > iteration=46, temp=10, curr= 21, best=16
 > iteration=47, temp=10, curr= 16, best=16
 > iteration=48, temp=10, curr= 16, best=16
 > iteration=49, temp=10, curr= 21, best=16
 > iteration=50, temp=10, curr= 21, best=16
 > iteration=51, temp=9, curr= 16, best=16
 > iteration=52, temp=9, curr= 21, best=16
 > iteration=53, temp=9, curr= 21, best=16
 > iteration=54, temp=9, curr= 21, best=16
 > iteration=55, temp=9, curr= 21, best=16
 > iteration=56, temp=9, curr= 21, best=16
 > iteration=57, temp=9, curr= 21, best=16
 > iteration=58, temp=9, curr= 21, best=16
 > iteration=59, temp=9, curr= 21, best=16
 > iteration=60, temp=9, curr= 21, best=16
 > iteration=61, temp=9, curr= 21, best=16
 > iteration=62, temp=9, curr= 21, best=16
 > iteration=63, temp=9, curr= 21, best=16
 > iteration=64, temp=9, curr= 16, best=16
 > iteration=65, temp=9, curr= 16, best=16
 > iteration=66, temp=9, curr= 16, best=16
 > iteration=67, temp=9, curr= 21, best=16
 > iteration=68, temp=9, curr= 21, best=16
 > iteration=69, temp=9, curr= 21, best=16
 > iteration=70, temp=9, curr= 21, best=16
 > iteration=71, temp=9, curr= 21, best=16
 > iteration=72, temp=9, curr= 21, best=16
 > iteration=73, temp=9, curr= 20, best=16
 > iteration=74, temp=9, curr= 16, best=16
 > iteration=75, temp=9, curr= 20, best=16
 > iteration=76, temp=9, curr= 20, best=16
 > iteration=77, temp=9, curr= 21, best=16
 > iteration=78, temp=9, curr= 21, best=16
 > iteration=79, temp=9, curr= 21, best=16
 > iteration=80, temp=9, curr= 21, best=16
 > iteration=81, temp=9, curr= 21, best=16
 > iteration=82, temp=9, curr= 20, best=16
 > iteration=83, temp=9, curr= 20, best=16
 > iteration=84, temp=9, curr= 20, best=16
 > iteration=85, temp=9, curr= 16, best=16
 > iteration=86, temp=9, curr= 20, best=16
 > iteration=87, temp=9, curr= 16, best=16
 > iteration=88, temp=9, curr= 20, best=16
 > iteration=89, temp=9, curr= 20, best=16
 > iteration=90, temp=9, curr= 21, best=16
