best_makespan, current_makespan, current_temp, equal_count, first_op_moved, heuristic, iter_number_in_temp, iter_per_temp, last_op_moved, longer_count, max_temperature, min_temperature, move_direction, moves, num_jobs, num_machines, num_operations, operation_duration, prob_acceptance, selected_machine, shorter_count, should_accept, switch_operation_1, temp_change_ratio, times_moved, violates_constraint, worst_makespan, 
, , , , , , , 100, , , 10.0, 4.5, , , 15, 15, 15.0, , , , , , , 0.9, , , , 
2423, 2524, 10.0, 0, True, P_AND_S, 0, 100, False, 1, 10.0, 4.5, right, , 15, 15, 15.0, 94.0, 4.1079555225300724e-05, 7, 0, False, 0, 0.9, , False, 2524, 
2423, 2688, 10.0, 0, False, P_AND_S, 1, 100, False, 1, 10.0, 4.5, left, , 15, 15, 15.0, 37.0, 3.0988191387218256e-12, 1, 0, False, 10, 0.9, , False, 2688, 
2423, 2513, 10.0, 0, False, P_AND_S, 2, 100, False, 0, 10.0, 4.5, left, , 15, 15, 15.0, 92.0, 0.00012340980408667956, 2, 1, False, 6, 0.9, , False, 2688, 
2423, 2423, 10.0, 0, False, P_AND_S, 3, 100, False, 1, 10.0, 4.5, right, , 15, 15, 15.0, 69.0, , 14, 0, True, 11, 0.9, , True, 2688, 
2423, 2423, 10.0, 0, False, P_AND_S, 4, 100, False, 0, 10.0, 4.5, right, , 15, 15, 15.0, 20.0, , 3, 1, True, 2, 0.9, , True, 2688, 
2423, 2423, 10.0, 0, False, P_AND_S, 5, 100, False, 1, 10.0, 4.5, left, , 15, 15, 15.0, 21.0, , 7, 0, True, 6, 0.9, , False, 2688, 
2423, 2423, 10.0, 0, False, P_AND_S, 6, 100, False, 1, 10.0, 4.5, left, , 15, 15, 15.0, 7.0, , 3, 0, True, 11, 0.9, , True, 2688, 
2423, 2468, 10.0, 0, False, P_AND_S, 7, 100, False, 0, 10.0, 4.5, right, , 15, 15, 15.0, 51.0, 0.011108996538242306, 4, 1, False, 10, 0.9, , False, 2688, 
2423, 2589, 10.0, 0, False, P_AND_S, 8, 100, False, 1, 10.0, 4.5, right, , 15, 15, 15.0, 12.0, 6.176061335580363e-08, 8, 0, False, 9, 0.9, , False, 2688, 
2379, 2379, 10.0, 0, False, P_AND_S, 9, 100, False, 0, 10.0, 4.5, right, , 15, 15, 15.0, 50.0, , 11, 1, True, 10, 0.9, , False, 2688, 
2379, 2379, 10.0, 0, False, P_AND_S, 10, 100, False, 0, 10.0, 4.5, right, , 15, 15, 15.0, 20.0, , 3, 1, True, 2, 0.9, , True, 2688, 
2379, 2379, 10.0, 0, False, P_AND_S, 11, 100, False, 1, 10.0, 4.5, left, , 15, 15, 15.0, 21.0, , 14, 0, True, 7, 0.9, , True, 2688, 
2379, 2393, 10.0, 0, False, P_AND_S, 12, 100, False, 1, 10.0, 4.5, right, , 15, 15, 15.0, 35.0, 0.2465969639416065, 14, 0, False, 8, 0.9, , False, 2688, 
2379, 2379, 10.0, 0, False, P_AND_S, 13, 100, False, 0, 10.0, 4.5, right, , 15, 15, 15.0, 13.0, , 1, 1, True, 2, 0.9, , False, 2688, 
2379, 2412, 10.0, 0, False, P_AND_S, 14, 100, False, 0, 10.0, 4.5, left, , 15, 15, 15.0, 41.0, 0.036883167401240015, 9, 1, False, 4, 0.9, , False, 2688, 
2379, 2426, 10.0, 0, True, P_AND_S, 15, 100, False, 0, 10.0, 4.5, right, , 15, 15, 15.0, 82.0, 0.009095277101695816, 9, 1, False, 0, 0.9, , False, 2688, 
2379, 2379, 10.0, 0, True, P_AND_S, 16, 100, False, 0, 10.0, 4.5, right, , 15, 15, 15.0, 78.0, , 8, 1, True, 0, 0.9, , False, 2688, 
2379, 2396, 10.0, 0, False, P_AND_S, 17, 100, False, 0, 10.0, 4.5, left, , 15, 15, 15.0, 62.0, 0.18268352405273466, 10, 1, False, 12, 0.9, , False, 2688, 
2379, 2416, 10.0, 1, False, P_AND_S, 18, 100, False, 0, 10.0, 4.5, right, , 15, 15, 15.0, 54.0, 0.024723526470339388, 12, 0, False, 7, 0.9, , False, 2688, 
2379, 2379, 10.0, 0, False, P_AND_S, 19, 100, False, 0, 10.0, 4.5, left, , 15, 15, 15.0, 13.0, , 1, 1, True, 4, 0.9, , False, 2688, 
2379, 2379, 10.0, 0, False, P_AND_S, 20, 100, False, 1, 10.0, 4.5, right, , 15, 15, 15.0, 8.0, , 1, 0, True, 7, 0.9, , True, 2688, 
2379, 2643, 10.0, 0, False, P_AND_S, 21, 100, False, 1, 10.0, 4.5, left, , 15, 15, 15.0, 17.0, 3.4247247924915922e-12, 6, 0, False, 5, 0.9, , False, 2688, 
2379, 2379, 10.0, 0, False, P_AND_S, 22, 100, False, 0, 10.0, 4.5, right, , 15, 15, 15.0, 13.0, , 1, 1, True, 2, 0.9, , False, 2688, 
2379, 2683, 10.0, 0, False, P_AND_S, 23, 100, False, 0, 10.0, 4.5, right, , 15, 15, 15.0, 26.0, 6.27260225925711e-14, 2, 1, False, 2, 0.9, , False, 2688, 
2379, 2379, 10.0, 0, False, P_AND_S, 24, 100, False, 0, 10.0, 4.5, right, , 15, 15, 15.0, 75.0, , 4, 1, True, 1, 0.9, , True, 2688, 
2379, 2379, 10.0, 0, False, P_AND_S, 25, 100, False, 0, 10.0, 4.5, left, , 15, 15, 15.0, 68.0, , 14, 1, True, 4, 0.9, , True, 2688, 
2379, 2379, 10.0, 0, False, P_AND_S, 26, 100, False, 1, 10.0, 4.5, left, , 15, 15, 15.0, 35.0, , 4, 0, True, 11, 0.9, , False, 2688, 
2379, 2379, 10.0, 0, False, P_AND_S, 27, 100, False, 0, 10.0, 4.5, left, , 15, 15, 15.0, 66.0, , 10, 1, True, 11, 0.9, , True, 2688, 
2379, 2379, 10.0, 0, True, P_AND_S, 28, 100, False, 1, 10.0, 4.5, right, , 15, 15, 15.0, 29.0, , 6, 0, True, 0, 0.9, , False, 2688, 
2379, 2379, 10.0, 0, False, P_AND_S, 29, 100, False, 1, 10.0, 4.5, right, , 15, 15, 15.0, 13.0, , 1, 0, True, 4, 0.9, , True, 2688, 
2379, 2430, 10.0, 0, False, P_AND_S, 30, 100, False, 1, 10.0, 4.5, right, , 15, 15, 15.0, 54.0, 0.006096746565515638, 1, 0, False, 6, 0.9, , False, 2688, 
