best_makespan, current_makespan, current_temp, equal_count, first_op_moved, iter_number_in_temp, iter_per_temp, last_op_moved, longer_count, max_temperature, min_temperature, move_direction, moves, num_jobs, num_machines, num_operations, operation_duration, selected_machine, shorter_count, should_accept, switch_operation_1, temp_change_ratio, violates_constraint, worst_makespan, 
, , , , , , 100, , , 10.0, 4.5, , , 5, 5, 5.0, , , , , , 0.9, , , 
69, 69, 10.0, 0, False, 0, 100, False, 0, 10.0, 4.5, left, 1, 5, 5, 5.0, 7.0, 2, 1, True, 3, 0.9, False, 76, 
69, 69, 10.0, 0, False, 1, 100, False, 0, 10.0, 4.5, right, 1, 5, 5, 5.0, 8.0, 3, 1, True, 2, 0.9, False, 76, 
69, 81, 10.0, 0, True, 2, 100, False, 1, 10.0, 4.5, right, 2, 5, 5, 5.0, 7.0, 1, 1, True, 0, 0.9, False, 81, 
69, 76, 10.0, 0, True, 3, 100, False, 0, 10.0, 4.5, right, 1, 5, 5, 5.0, 8.0, 3, 1, True, 0, 0.9, False, 81, 
69, 73, 10.0, 0, True, 4, 100, False, 0, 10.0, 4.5, right, 2, 5, 5, 5.0, 8.0, 1, 2, True, 0, 0.9, False, 81, 
69, 78, 10.0, 0, True, 5, 100, False, 1, 10.0, 4.5, right, 1, 5, 5, 5.0, 1.0, 3, 0, False, 0, 0.9, False, 81, 
69, 73, 10.0, 0, False, 6, 100, False, 1, 10.0, 4.5, left, 1, 5, 5, 5.0, 4.0, 4, 0, True, 1, 0.9, True, 81, 
69, 71, 10.0, 0, False, 7, 100, False, 1, 10.0, 4.5, left, 1, 5, 5, 5.0, 1.0, 4, 0, True, 3, 0.9, False, 81, 
69, 79, 10.0, 1, False, 8, 100, False, 0, 10.0, 4.5, right, 2, 5, 5, 5.0, 8.0, 3, 1, False, 1, 0.9, False, 81, 
69, 71, 10.0, 0, False, 9, 100, False, 1, 10.0, 4.5, left, 1, 5, 5, 5.0, 4.0, 4, 0, True, 1, 0.9, True, 81, 
69, 80, 10.0, 0, False, 10, 100, False, 0, 10.0, 4.5, left, 1, 5, 5, 5.0, 9.0, 2, 1, False, 1, 0.9, False, 81, 
69, 80, 10.0, 0, True, 11, 100, False, 1, 10.0, 4.5, right, 1, 5, 5, 5.0, 5.0, 2, 0, False, 0, 0.9, False, 81, 
69, 77, 10.0, 0, False, 12, 100, False, 1, 10.0, 4.5, left, 1, 5, 5, 5.0, 6.0, 2, 0, False, 3, 0.9, False, 81, 
69, 71, 10.0, 0, False, 13, 100, False, 2, 10.0, 4.5, left, 2, 5, 5, 5.0, 4.0, 1, 0, True, 3, 0.9, True, 81, 
69, 71, 10.0, 0, False, 14, 100, False, 1, 10.0, 4.5, right, 1, 5, 5, 5.0, 4.0, 1, 0, True, 3, 0.9, True, 81, 
69, 71, 10.0, 0, False, 15, 100, False, 1, 10.0, 4.5, right, 1, 5, 5, 5.0, 1.0, 3, 0, True, 2, 0.9, False, 81, 
69, 71, 10.0, 0, True, 16, 100, False, 3, 10.0, 4.5, right, 3, 5, 5, 5.0, 5.0, 2, 0, True, 0, 0.9, True, 81, 
69, 97, 10.0, 0, False, 17, 100, False, 1, 10.0, 4.5, right, 1, 5, 5, 5.0, 4.0, 1, 0, False, 3, 0.9, False, 97, 
